repo_file	action	old_url	new_url
ships/ss-deutschland.html	replace	https://www.norwayheritage.com/p_ship.asp?sh=deutc	https://web.archive.org/web/20251101105436/https://www.norwayheritage.com/p_ship.asp?sh=deutc
ships/ss-deutschland.html	replace	https://ssmaritime.com/Blue-Riband.htm	https://web.archive.org/web/20250428025254/http://ssmaritime.com/Blue-Riband.htm
ships/ss-doric.html	replace	https://www.norwayheritage.com/p_ship.asp?sh=dori2	https://web.archive.org/web/20251028220021/https://www.norwayheritage.com/p_ship.asp?sh=dori2
ships/ss-drottningholm.html	replace	https://www.norwayheritage.com/p_ship.asp?sh=drotn	https://web.archive.org/web/20251231075223/https://www.norwayheritage.com/p_ship.asp?sh=drotn
ships/ss-duchess-of-richmond.html	replace	https://www.norwayheritage.com/p_ship.asp?sh=ducri	https://www.norwayheritage.com/
ships/ss-duilio.html	remove_link	https://www.theshipslist.com/ships/lines/italian.shtml	
ships/ss-france.html	replace	https://ssmaritime.com/ss-france.htm	https://web.archive.org/web/20260102232458/http://ssmaritime.com/SS-France.htm
ships/ss-friedrich-der-grosse.html	remove_link	https://www.navsource.org/archives/12/171408.htm	
ships/ss-gneisenau.html	remove_link	https://www.germanliners.com/gneisenau/	
ships/ss-gneisenau.html	remove_link	https://www.ddghansa-shipsphotos.de/gneisenau100.htm	
ships/ss-grosser-kurfurst.html	replace	https://web.archive.org/web/0/https://www.history.navy.mil/research/histories/ship-histories/danfs/g/grosser-kurfurst.html	https://web.archive.org/
ships/ss-konigin-luise.html	replace	https://web.archive.org/web/0/https://www.history.navy.mil/research/histories/ship-histories/danfs/b/barbarossa-i.html	https://web.archive.org/
ships/ss-lafayette.html	replace	https://www.ssmaritime.com/	https://web.archive.org/web/20260712123243/http://ssmaritime.com/
ships/ss-lapland.html	remove_link	https://www.redstarline.eu/lapland.html	
ships/ss-leonardo-da-vinci.html	replace	https://ssmaritime.com/Leonardo-da-Vinci.htm	https://web.archive.org/web/20220521142058/http://ssmaritime.com/Leonardo-da-Vinci.htm
ships/ss-lurline-1932.html	remove_link	https://ssmaritime.com/Ellinis-Part-1.htm	
ships/ss-mariposa.html	replace	https://ssmaritime.com/Mariposa.htm	https://web.archive.org/web/20250428013749/http://ssmaritime.com/Mariposa.htm
ships/ss-mayflower.html	replace	https://www.ggarchives.com/OceanTravel/Passengers/DominionLine/index.html	https://www.ggarchives.com/
ships/ss-michelangelo-1965.html	replace	https://ssmaritime.com/italia-lines.htm	https://web.archive.org/web/20251204201205/http://ssmaritime.com/italia-lines.htm
ships/ss-minnesota.html	replace	https://web.archive.org/web/0/https://www.history.navy.mil/content/history/nhhc/our-collections/photography/us-people/b/brainard-frank-o/nh-106032.html	https://web.archive.org/
ships/ss-monarch-of-bermuda.html	remove_link	https://ssmaritime.com/Monarch-of-Bermuda.htm	
ships/ss-mongolia.html	remove_link	https://www.navsource.org/archives/12/171615.htm	
ships/ss-monterey.html	replace	https://ssmaritime.com/matson-mariposa-monterey-1.htm	https://web.archive.org/web/20251105150306/http://ssmaritime.com/matson-mariposa-monterey-1.htm
